n,u_n,v_n,w_n,abs_s_n,is_prime
166,2,8.901179185171081e-9,0,2,0
167,0.9999999999999999,1.7488199104983184e-8,0,0.9999999999999999,1
168,5,1.6755160819145562e-9,0,5,0
169,2,2.7227136331111543e-9,0,2,0
170,3,2.5132741228718347e-9,0,3,0
171,3,2.6179938779914945e-9,0,3,0
172,3,4.92182849062401e-9,0,3,0
173,0.9999999999999999,1.811651763570114e-8,0,0.9999999999999999,1
174,3,3.560471674068432e-9,0,3,0
175,3,1.780235837034216e-9,0,3,0
176,5,1.9896753472735356e-9,0,5,0
177,2,6.492624817418906e-9,0,2,0
178,2,9.52949771588904e-9,0,2,0
179,0.9999999999999998,1.87448361664191e-8,0,1,1
180,5,1.5707963267948966e-9,0,5,0
181,0.9999999999999998,1.8954275676658418e-8,0,1,1
182,3,2.303834612632515e-9,0,3,0
183,2,6.702064327658226e-9,0,2,0
184,4,3.0368728984701338e-9,0,4,0
185,2,4.3982297150257105e-9,0,2,0
186,3,3.769911184307752e-9,0,3,0
187,2,2.932153143350474e-9,0,2,0
188,3,5.340707511102649e-9,0,3,0
189,4,1.6755160819145562e-9,0,4,0
190,3,2.722713633111154e-9,0,3,0
191,0.9999999999999998,2.0001473227855016e-8,0,1,1
192,7,1.5707963267948968e-9,0,7,0
193,0.9999999999999998,2.0210912738094336e-8,0,1,1
194,2,1.0367255756846318e-8,0,2,0
195,3,2.1991148575128553e-9,0,3,0
196,4,1.884955592153876e-9,0,4,0
197,0.9999999999999998,2.0629791758572975e-8,0,1,1
198,4,1.9896753472735356e-9,0,4,0
199,0.9999999999999998,2.0839231268812295e-8,0,1,1
200,5,1.6755160819145564e-9,0,5,0
201,2,7.3303828583761845e-9,0,2,0
202,2,1.0786134777324958e-8,0,2,0
203,2,3.769911184307752e-9,0,2,0
204,4,2.5132741228718347e-9,0,4,0
205,2,4.81710873550435e-9,0,2,0
206,2,1.0995574287564277e-8,0,2,0
207,3,3.0368728984701338e-9,0,3,0
208,5,2.1991148575128553e-9,0,5,0
209,2,3.141592653589793e-9,0,2,0
210,4,1.780235837034216e-9,0,4,0
211,0.9999999999999998,2.209586833024821e-8,0,1,1
212,3,5.969026041820608e-9,0,3,0
213,2,7.749261878854823e-9,0,2,0
214,2,1.1414453308042915e-8,0,2,0
215,2,5.026548245743669e-9,0,2,0
216,6,1.5707963267948968e-9,0,6,0
217,2,3.979350694547071e-9,0,2,0
218,2,1.1623892818282234e-8,0,2,0
219,2,7.958701389094143e-9,0,2,0
220,4,2.0943951023931954e-9,0,4,0
221,2,3.1415926535897936e-9,0,2,0
222,3,4.3982297150257105e-9,0,3,0
223,0.9999999999999998,2.3352505391684127e-8,0,1,1
224,6,1.780235837034216e-9,0,6,0
225,4,1.6755160819145564e-9,0,4,0
226,2,1.2042771838760874e-8,0,2,0
227,0.9999999999999997,2.3771384412162766e-8,0,0.9999999999999999,1
228,4,2.7227136331111543e-9,0,4,0
229,0.9999999999999997,2.3980823922402086e-8,0,0.9999999999999999,1
230,3,3.141592653589793e-9,0,3,0
231,3,2.1991148575128553e-9,0,3,0
232,4,3.665191429188092e-9,0,4,0
233,0.9999999999999997,2.4399702942880725e-8,0,0.9999999999999999,1
234,4,2.1991148575128553e-9,0,4,0
235,2,5.445427266222309e-9,0,2,0
236,3,6.597344572538566e-9,0,3,0
237,2,8.587019919812101e-9,0,2,0
238,3,2.7227136331111543e-9,0,3,0
239,0.9999999999999997,2.5028021473598684e-8,0,0.9999999999999999,1
240,6,1.6755160819145564e-9,0,6,0
241,0.9999999999999997,2.5237460983838004e-8,0,0.9999999999999999,1
242,3,2.5132741228718347e-9,0,3,0
243,5,1.5707963267948968e-9,0,5,0
244,3,6.806784082777885e-9,0,3,0
245,3,1.9896753472735356e-9,0,3,0
246,3,4.81710873550435e-9,0,3,0
247,2,3.351032163829113e-9,0,2,0
248,4,3.8746309394274115e-9,0,4,0
249,2,9.00589894029074e-9,0,2,0
